X,Y,Z
445911.9159,5047031.419,1487.042236
445951.1097,5046986.346,1486.312012
445998.0744,5046932.336,1483.273193
446052.9324,5046869.25,1483.378418
446078.6809,5046815.411,1484.59668
446106.7385,5046756.745,1482.687012
446130.4912,5046707.081,1482.606079
446161.1184,5046636.402,1482.481445
446185.1714,5046580.895,1477.244385
446222.1514,5046495.556,1469.401611
446247.8228,5046412.123,1475.408813
446278.5575,5046312.234,1487.195313
446290.018,5046229.144,1491.114624
446306.7601,5046107.761,1498.620117
446317.0669,5046045.918,1502.306641
446327.9121,5045980.846,1504.323853
446342.0133,5045846.881,1505.588745
446349.042,5045739.08,1508.174316
446350.3847,5045677.688,1511.637817
446352.2945,5045590.363,1517.640625
446354.0961,5045507.99,1522.151001
446355.7917,5045430.462,1524.332153
446357.5932,5045348.088,1528.595215
446359.7104,5045251.284,1533.776245
446361.5825,5045165.685,1536.020874
446356.5338,5045052.341,1532.375977
446351.1235,5044930.879,1536.859985
446347.6539,5044839.396,1545.174194
446342.0087,5044690.549,1556.719482
446329.379,5044585.306,1560.37854
446319.684,5044456.101,1568.028809
446318.3897,5044391.816,1574.374268
446317.5826,5044311.729,1574.912598
446316.8325,5044237.299,1572.99646
446315.9302,5044147.758,1574.296997
446315.2157,5044076.863,1582.924316
446313.9685,5043953.118,1567.821533
446313.03,5043853.463,1569.268677
446312.4453,5043791.377,1574.04187
446314.5607,5044011.876,1579.98877
446344.9075,5044766.982,1548.18689
